Date,BUY,SPY,TQQQ,SPXL,UVXY,SQQQ,TLT,QQQ,SPY_MA200,TQQQ_RSI10,SPXL_RSI10,SPY_RSI10,QQQ_RSI10,UVXY_RSI10,TQQQ_MA20,SQQQ_RSI10,TLT_RSI10,QQQ_5dgain,TQQQ_1dgain,TQQQ_10dSTDreturn
2019-12-05,,297.34912109375,18.75072,59.30942,159.10001,647.0567,132.64473,199.29135131835938,277.7275587463379,53.05113620306838,55.53810034611862,56.3571884915725,54.32283436747885,43.61468387798482,18.7420965,45.126779280459424,49.45799284270323,-1.5579398523771326,0.5225362872421702,2.018917492963865
2019-12-06,,300.06512451171875,19.33051,60.84515,151.2,626.96021,131.9106,201.4235076904297,277.9161090087891,62.096551575889954,64.07148059019426,65.08307857370957,63.24386525713619,38.29503105708781,18.798951,36.56532096590142,45.710379093686235,-0.048754706809228665,3.0920945969008073,2.199375047735596
2019-12-09,,299.12164306640625,19.0931,60.32003,162.39999,634.65149,132.19655,200.50973510742188,278.09815628051757,57.09200747787309,59.717038421688365,60.42034340938486,57.86253196439295,48.23978643242502,18.833188999999997,41.300977313861296,47.43421572174469,0.527100328534047,-1.2281621126395526,2.2642411590019473
2019-12-10,,298.7881164550781,19.05061,60.10205,162.7,636.14014,132.20616,200.34268188476562,278.27947525024416,56.191447850376925,57.90203611060734,58.76663808252448,56.87942469666718,48.48688337933028,18.869176,42.22848740101845,47.49646847858629,1.2362712561227118,-0.2225411274230038,1.9765921782385099
2019-12-11,,299.6362609863281,19.33801,60.60736,157.3,626.21588,133.24544,201.4038543701172,278.46559936523437,60.83445026445461,60.95840133085482,61.72649069904009,61.496740531058876,44.26108390914421,18.912035499999998,37.80376664964856,54.0372298967579,1.2597007088837264,1.5086131100264133,2.030127171021519
2019-12-12,,302.2188720703125,19.78035,62.16292,144.5,612.32208,131.05244,202.90716552734375,278.6670802307129,66.84384943576875,68.72495669060017,69.20545924928346,67.05035979614321,35.998084724801444,18.9783865,32.505670136332334,41.82185856884203,1.8143357376348312,2.287412200117789,2.0606727893619134
2019-12-13,,302.3998718261719,19.95778,62.22237,134.7,606.61566,132.56845,203.5753173828125,278.8612892150879,68.9660764636874,68.98693666654951,69.66702638500075,69.24129927971833,31.064587851106317,19.053859,30.551689718171573,50.429055072675474,1.0683011715246105,0.8970013169635527,2.012741010222996
2019-12-16,,304.47735595703125,20.53008,63.52032,130.2,589.24835,131.37663,205.61900329589844,279.0706788635254,74.75672949390805,74.22461610574159,74.53475372991173,74.91099345217474,29.03441737908033,19.140577999999998,25.39041282137796,44.657858560521724,2.5481397128868988,2.8675534052384766,1.7365480526074313
2019-12-17,,304.5440979003906,20.55757,63.54013,128.60001,588.25592,131.1955,205.73690795898438,279.2821878051758,75.00563894160982,74.2982268718744,74.67979682766664,75.20398017670284,28.303662386506126,19.223798,25.120959853126013,43.8112017490205,2.692499682779248,0.13390108562654213,1.3856964715493758
2019-12-18,,304.5631103515625,20.60505,63.54013,130.89999,587.01538,130.11804,205.89413452148438,279.5017340087891,75.46982266601296,74.2982268718744,74.72536177663153,75.62572390431812,31.074449755215173,19.305518499999998,24.7560687545942,38.93264179542318,2.2294906745505827,0.23096114959113567,1.407100087708309
2019-12-19,,305.81158447265625,21.0249,64.34269,125.8,575.10638,130.32626,207.18125915527344,279.73842529296877,79.25511805043507,77.51057473372757,77.65875328175355,78.891433561336,28.37290147680361,19.424850499999998,21.435035262743774,40.35868430667687,2.1064281376271587,2.037607285592613,1.430283920078542
2019-12-20,,307.1523132324219,21.27481,65.28396,128.0,568.90375,130.49815,208.01644897460938,279.9844049072266,81.1762299569579,80.6604917150164,80.37634303890961,80.7508609910235,31.23818412533807,19.5639255,19.8908381719645,41.60938121780897,2.1815668269083766,1.1886382337133572,1.2613315472325197
2019-12-23,,307.6215515136719,21.43225,65.41526,128.8,564.18982,130.30717,208.5658721923828,280.21402694702147,82.32216427770422,81.07140217281058,81.26267046416395,81.9152858007912,32.33188605758225,19.7083735,18.750196843042406,40.55937732594471,1.4331695267696842,0.7400301107272078,1.0083991332050284
2019-12-24,,307.631103515625,21.46,65.43517,126.8,563.64136,130.67955,208.67422485351562,280.43876235961915,82.53044086840468,81.13892215182835,81.28179262455053,82.15186848949891,30.963830233863256,19.8220955,18.61221769357009,43.64059244218233,1.427705375603705,0.12947777298231156,0.9594624282645047
